Ativo,"Minha Categoria",Recebido,"Data pgto.","Data COM",YOC,DY,"Valor por cota"
GGRC11,"Renda Variavel","R$ 41,40",08/12/2023,01/12/2023,"0.78 %","0.81 %","R$ 0,92"
HSML11,"Renda Variavel","R$ 43,66",07/12/2023,30/11/2023,"0.79 %","0.79 %","R$ 0,74"
SNAG11,"Renda Variavel","R$ 48,40",24/11/2023,14/11/2023,"1.09 %","1.09 %","R$ 0,11"
BCFF11,"Renda Variavel","R$ 152,32",16/11/2023,08/11/2023,"0.80 %","0.79 %","R$ 0,56"
HSLG11,"Renda Variavel","R$ 17,76",16/11/2023,31/10/2023,"0.80 %","0.81 %","R$ 0,74"
KNRI11,"Renda Variavel","R$ 104,00",16/11/2023,31/10/2023,"0.68 %","0.63 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 87,23",16/11/2023,31/10/2023,"1.06 %","1.02 %","R$ 0,11"
RZAG11,"Renda Variavel","R$ 42,96",16/11/2023,31/10/2023,"1.26 %","1.24 %","R$ 0,12"
TGAR11,"Renda Variavel","R$ 87,00",16/11/2023,31/10/2023,"1.23 %","1.20 %","R$ 1,45"
VISC11,"Renda Variavel","R$ 72,00",16/11/2023,31/10/2023,"0.92 %","0.85 %","R$ 1,00"
XPLG11,"Renda Variavel","R$ 25,74",16/11/2023,31/10/2023,"0.73 %","0.72 %","R$ 0,78"
KNCR11,"Renda Variavel","R$ 59,94",14/11/2023,31/10/2023,"1.12 %","1.08 %","R$ 1,11"
RBFF11,"Renda Variavel","R$ 137,70",14/11/2023,31/10/2023,"0.89 %","0.85 %","R$ 0,51"
RBVA11,"Renda Variavel","R$ 114,00",14/11/2023,31/10/2023,"1.01 %","0.90 %","R$ 1,00"
GGRC11,"Renda Variavel","R$ 38,13",09/11/2023,01/11/2023,"0.78 %","0.82 %","R$ 0,93"
HSML11,"Renda Variavel","R$ 39,96",08/11/2023,31/10/2023,"0.79 %","0.81 %","R$ 0,74"
SNAG11,"Renda Variavel","R$ 44,00",25/10/2023,13/10/2023,"0.99 %","0.97 %","R$ 0,10"
BCFF11,"Renda Variavel","R$ 143,92",16/10/2023,06/10/2023,"0.80 %","0.78 %","R$ 0,56"
HSLG11,"Renda Variavel","R$ 17,76",16/10/2023,29/09/2023,"0.80 %","0.77 %","R$ 0,74"
KNRI11,"Renda Variavel","R$ 104,00",16/10/2023,29/09/2023,"0.68 %","0.61 %","R$ 1,00"
MXRF11,"Renda Variavel","R$ 87,23",16/10/2023,29/09/2023,"1.06 %","0.99 %","R$ 0,11"
RZAG11,"Renda Variavel","R$ 44,75",16/10/2023,29/09/2023,"1.32 %","1.27 %","R$ 0,13"
TGAR11,"Renda Variavel","R$ 85,80",16/10/2023,29/09/2023,"1.21 %","1.12 %","R$ 1,43"
VISC11,"Renda Variavel","R$ 66,24",16/10/2023,29/09/2023,"0.84 %","0.77 %","R$ 0,92"
XPLG11,"Renda Variavel","R$ 25,74",16/10/2023,29/09/2023,"0.73 %","0.69 %","R$ 0,78"
KNCR11,"Renda Variavel","R$ 59,40",13/10/2023,29/09/2023,"1.11 %","1.09 %","R$ 1,10"
RBFF11,"Renda Variavel","R$ 129,03",13/10/2023,29/09/2023,"0.90 %","0.83 %","R$ 0,51"
RBVA11,"Renda Variavel","R$ 114,00",13/10/2023,29/09/2023,"1.01 %","0.88 %","R$ 1,00"
GGRC11,"Renda Variavel","R$ 38,95",09/10/2023,02/10/2023,"0.80 %","0.82 %","R$ 0,95"
HSML11,"Renda Variavel","R$ 39,96",06/10/2023,29/09/2023,"0.79 %","0.79 %","R$ 0,74"
ITSA4,"(Não atribuído)","R$ 6,92",02/10/2023,18/08/2022,"0.49 %","0.56 %","R$ 0,04"
SNAG11,"Renda Variavel","R$ 57,60",25/09/2023,15/09/2023,"1.19 %","1.15 %","R$ 0,12"
BCFF11,"Renda Variavel","R$ 125,44",15/09/2023,08/09/2023,"0.81 %","0.75 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 98,80",15/09/2023,31/08/2023,"0.64 %","0.59 %","R$ 0,95"
